Area,MajorAxisLength,MinorAxisLength,Eccentricity,ConvexArea,Extent,Perimeter,Class
65420,253.22,223.84,0.7523,70186,0.6447,1065.93,Kecimen
64473,411.89,277.61,0.7475,68733,0.7401,1160.42,Besni
63246,274.84,232.66,0.7889,65158,0.6513,1257.91,Kecimen
82553,459.14,255.37,0.8005,86965,0.7204,1307.59,Besni
62952,355.27,203.08,0.6748,64801,0.6896,1213.36,Kecimen
85146,399.38,291.22,0.7922,87227,0.7068,1204.29,Besni
69444,263.73,260.92,0.8754,74310,0.7409,1313.27,Kecimen
31218,331.59,259.52,0.7117,32453,0.7866,845.59,Kecimen
59462,293.5,245.22,0.6981,63002,0.6846,1068.67,Kecimen
73731,285.58,265.1,0.7051,78954,0.6595,1075.1,Kecimen
41537,285.76,251.41,0.7958,44417,0.7049,1155.29,Kecimen
77943,346.03,270.49,0.7571,79617,0.6436,1276.88,Besni
81938,380.53,198.9,0.8134,86734,0.6261,1083.97,Besni
71865,320.74,235.69,0.7918,73935,0.601,976.62,Kecimen
71918,395.12,289.57,0.6984,73519,0.6582,1154.04,Besni
93703,440.4,207.49,0.8497,99236,0.6588,1170.47,Besni
56319,339.24,205.97,0.6585,60660,0.6903,1058.6,Kecimen
56265,264.83,217.89,0.6826,57934,0.7372,1039.07,Kecimen
45901,325.87,248.03,0.6722,47012,0.6335,803.17,Kecimen
75052,280.9,274.03,0.7361,78459,0.7563,907.41,Kecimen
77033,298.13,226.52,0.6752,80196,0.6619,1111.4,Kecimen
83181,339.99,267.37,0.7077,86247,0.6374,1231.35,Besni
66932,491.44,154.73,0.6992,71401,0.6417,1161.45,Besni
49842,344.42,297.39,0.7395,51408,0.7296,1183.54,Kecimen
31860,522.49,276.11,0.7008,32622,0.7195,1346.19,Besni
52934,276.76,200.52,0.7276,55885,0.6888,1127.26,Kecimen
50974,314.88,203.34,0.7607,54065,0.7354,741.13,Kecimen
73900,455.53,204.62,0.6825,78384,0.6021,1115.87,Besni
94628,410.93,294.52,0.7792,98140,0.679,1026.88,Besni
55375,516.02,219.71,0.7377,57914,0.7567,1086.42,Besni
46096,328.44,145.02,0.7025,49155,0.7425,1072.28,Kecimen
79482,400.86,270.18,0.8994,82241,0.6548,1219.69,Besni
72192,295.54,226.72,0.7912,75123,0.6223,1153.21,Kecimen
47455,450.21,286.81,0.7321,49610,0.6697,1279.11,Besni
70242,423.64,221.66,0.7689,73807,0.6183,1544.61,Besni
120068,413.9,272.58,0.6343,126072,0.7962,1700.16,Besni
38628,374.67,199.0,0.6232,40905,0.6675,1005.12,Kecimen
98746,398.44,262.53,0.7684,102237,0.6376,996.75,Besni
29411,298.77,256.56,0.715,31655,0.7395,954.69,Kecimen
117790,314.23,277.42,0.7037,121220,0.7469,1070.8,Kecimen
42056,283.7,241.27,0.8499,44393,0.6126,1074.66,Kecimen
72786,337.77,241.04,0.7252,76430,0.6115,712.05,Kecimen
60367,299.31,252.74,0.7508,63728,0.7494,1105.68,Kecimen
78123,375.36,268.18,0.8089,82405,0.6365,1325.38,Besni
71907,434.05,250.6,0.8521,76955,0.6632,1364.77,Besni
93789,377.47,246.41,0.8397,98457,0.7997,1384.13,Besni
71384,324.26,230.95,0.7031,72983,0.6903,1133.09,Kecimen
81770,366.69,288.07,0.8327,85381,0.6728,1149.72,Besni
75407,328.0,212.16,0.8434,79160,0.7122,1152.87,Besni
92819,380.0,328.19,0.7743,95078,0.7175,1309.7,Besni
79413,332.62,286.91,0.6551,83510,0.6125,1283.93,Besni
72864,323.84,160.19,0.7581,77200,0.701,904.7,Kecimen
96263,399.24,251.7,0.7765,103794,0.7052,1451.34,Besni
61702,327.83,225.4,0.7491,64111,0.7,1071.04,Kecimen
50200,269.96,176.8,0.8434,52556,0.6995,958.04,Kecimen
69770,298.26,234.87,0.773,73200,0.653,814.35,Kecimen
55169,286.01,176.07,0.6144,57793,0.7234,861.37,Kecimen
34302,331.57,247.57,0.7785,36677,0.7213,944.42,Kecimen
71209,280.97,223.67,0.7317,74224,0.6565,1280.64,Kecimen
82503,420.03,266.82,0.8006,87571,0.7285,1266.4,Besni
37822,380.92,275.4,0.6981,39611,0.708,875.43,Kecimen
46523,318.02,231.66,0.7137,48085,0.6201,1271.4,Kecimen
87260,369.21,257.99,0.7565,89066,0.6963,1332.62,Besni
52291,368.26,178.99,0.7846,54576,0.6905,1093.31,Kecimen
67725,327.92,201.29,0.8096,72128,0.733,1074.95,Kecimen
60873,310.76,247.49,0.766,64547,0.6918,882.44,Kecimen
91591,360.02,323.47,0.8348,96639,0.6967,1217.73,Besni
51812,378.4,232.66,0.7569,53224,0.6576,1712.96,Besni
69361,317.02,248.92,0.7799,74475,0.7358,1042.1,Kecimen
44111,287.32,213.26,0.7213,45474,0.7461,1199.34,Kecimen
110148,544.26,258.04,0.8311,115018,0.7893,1274.15,Besni
77647,418.25,267.75,0.7501,79550,0.7083,1152.62,Besni
101474,310.19,201.86,0.8165,104073,0.6101,1475.93,Besni
79582,365.97,211.15,0.7978,84334,0.737,865.7,Kecimen
48251,301.63,183.23,0.6349,49454,0.7127,965.44,Kecimen
78787,372.87,201.45,0.7446,83911,0.6059,1141.31,Besni
82991,302.41,222.28,0.7128,88766,0.7123,829.35,Kecimen
111412,545.58,276.54,0.7948,113922,0.6613,1459.21,Besni
52812,330.82,239.28,0.7997,54746,0.6933,951.9,Kecimen
71674,388.9,253.86,0.7978,75517,0.69,1095.86,Besni
98860,355.32,293.48,0.7003,104165,0.7072,1254.18,Besni
